gene,median_coef,fisher_stat,fisher_pval,sign_consistency,n_samples,n_sig_samples,mean_expr,pct_expr,n_positive_samples,n_negative_samples,median_dispersion,fisher_fdr,perm_pval,gradient_score,decay_pattern,cell_type
B2M,0.0018531112696382,,1,0.8,5,4,3.19791864484029,0.791294770025447,4,1,1.37933502758857,1,,0.0018531112696382,not_significant,B-cell
CD74,0.000226147647538729,,1,0.6,5,4,5.91602415587375,0.890918758783091,3,2,1.88474339251321,1,,0.000226147647538729,not_significant,B-cell
COL9A2,-0.000477473496118353,,1,0.6,5,3,1.91647992707661,0.683352956815679,2,3,1.20914421099072,1,,-0.000477473496118353,not_significant,B-cell
HLA-A,0.00199729117721499,,1,0.8,5,2,2.32226822135288,0.751072961373391,4,1,1.2903041706461,1,,0.00199729117721499,not_significant,B-cell
HLA-B,0.000805731654152443,,1,0.8,5,3,3.66774279311786,0.834706977097497,4,1,1.48984017173936,1,,0.000805731654152443,not_significant,B-cell
HLA-C,0.00312443642920709,223.029420958553,2.48090892617026e-42,1,5,4,2.96179118082722,0.795396710851153,5,0,1.44705221491402,1.72423170368833e-40,,0.00312443642920709,linear,B-cell
HLA-DRB1,0.000676892493154803,,1,0.6,5,2,2.41133351057769,0.727144973223442,3,2,1.56135943515501,1,,0.000676892493154803,not_significant,B-cell
IGHA1,0.000424086060241684,,1,0.6,5,1,2.78347069770975,0.66083026320787,3,2,3.34009186367179,1,,0.000424086060241684,not_significant,B-cell
IGHG1,-0.000351298222814705,,1,0.6,5,4,1.7244103460063,0.589691974628736,2,3,1.60336847016915,1,,-0.000351298222814705,not_significant,B-cell
IGHM,0.000990078110642142,166.987726838288,1.16556352368365e-30,1,5,3,3.09081241216909,0.627976755668654,5,0,4.38565902018434,5.40044432640091e-29,,0.000990078110642142,step_50um,B-cell
IGKC,0.000851164886344408,,1,0.8,5,4,2.54138022712598,0.660944206008584,4,1,3.24965486737867,1,,0.000851164886344408,not_significant,B-cell
MALAT1,0.00230881200356184,230.892274181734,5.58294250237025e-44,1,5,5,11.8803980401838,0.907136617418056,5,0,2.06413408701492,7.76029007829464e-42,,0.00230881200356184,linear,B-cell
MZT2A,-0.000510497945578536,,1,0.8,5,4,16.3064681529872,0.97914846746933,1,4,2.0549221493993,1,,-0.000510497945578536,not_significant,B-cell
NEAT1,0.00121785691535187,54.2231520660977,4.4092828783636e-08,1,5,2,1.42933647309051,0.580614531505184,5,0,1.17698822690925,1.53222580023135e-06,,0.00121785691535187,linear,B-cell
RPL21,0.00182801084313959,,1,0.6,5,4,1.97554027878005,0.711458847658475,3,2,1.1376222747136,1,,0.00182801084313959,not_significant,B-cell
RPL22,-0.000600364000183749,,1,0.8,5,1,1.03046070872422,0.520984465798169,1,4,0.968135934026555,1,,-0.000600364000183749,not_significant,B-cell
RPL37,0.000131055699519612,,1,0.8,5,1,1.43267879524479,0.622431539367238,4,1,1.15885346684622,1,,0.000131055699519612,not_significant,B-cell
CCL2,0.00348533280256914,12.4741329389536,0.131269710245543,1,4,1,0.0822287211819667,0.0660488434805728,4,0,0.318570260974879,0.878336016010576,,0.00348533280256914,not_significant,B-cell
CCL3,-0.000546269965642034,,1,0.8,5,0,0.0718219453834175,0.0617190170534392,1,4,0.319174688856952,1,,-0.000546269965642034,not_significant,B-cell
CCL4,-0.00139376778494665,,1,0.75,4,0,0.0804815982376847,0.0672262524212845,1,3,0.363056126083672,1,,-0.00139376778494665,not_significant,B-cell
CCL5,-0.000422505060266861,,1,0.6,5,0,0.164837251699647,0.11447453378404,2,3,0.59721356228937,1,,-0.000422505060266861,not_significant,B-cell
CCL7,-0.00163758485730842,,1,0.5,4,0,0.0290933951156519,0.0253712636256599,2,2,0.183822457475065,1,,-0.00163758485730842,not_significant,B-cell
CCL8,-0.00126505381312528,14.8527702007105,0.0620722720531819,1,4,1,0.0760378290098371,0.0663906718827149,0,4,0.307202707515667,0.507532106787782,,-0.00126505381312528,not_significant,B-cell
CCL11,-0.00263808889263813,25.8067827749471,0.00113330223716234,1,4,1,0.0385886285084887,0.03467659235064,0,4,0.239447346840887,0.0262548351609276,,-0.00263808889263813,linear,B-cell
CCL19,0.00055992820000766,,1,0.8,5,2,0.330775950472863,0.167495917049641,4,1,0.738904192043734,1,,0.00055992820000766,not_significant,B-cell
CCL20,-0.00362738750257198,,1,0.75,4,3,0.0608834365148695,0.0446655778799043,1,3,0.391911457912275,1,,-0.00362738750257198,not_significant,B-cell
CCL21,0.000787173700375158,21.2667289164023,0.00647164332831651,1,4,1,0.216681226024536,0.136237608720422,4,0,0.775005460711514,0.0899558422635995,,0.000787173700375158,not_significant,B-cell
CCL28,-1.9620737705592e-05,,1,0.5,4,0,0.0452352918834745,0.0387025713092028,2,2,0.257005378550378,1,,-1.9620737705592e-05,not_significant,B-cell
CXCL1,-0.00226351416077473,,1,0.75,4,1,0.0512362793877474,0.0440199020091914,1,3,0.292028654805541,1,,-0.00226351416077473,not_significant,B-cell
CXCL2,-0.004362690331268,22.1296363231065,0.00468129288968978,1,4,1,0.0558699532834517,0.0466785673591857,0,4,0.312554430367941,0.0813374639583599,,-0.004362690331268,not_significant,B-cell
CXCL3,-0.000702155078401059,,1,0.75,4,1,0.0613771886512971,0.0528694595313153,1,3,0.337041315358332,1,,-0.000702155078401059,not_significant,B-cell
CXCL5,-0.00243062947811309,17.8737161203829,0.022193440311195,1,4,1,0.0477040525656121,0.0413992175927684,0,4,0.307020961608373,0.257074016938009,,-0.00243062947811309,not_significant,B-cell
CXCL9,-0.00156772391232682,,1,0.8,5,2,0.0980667704812184,0.0693152037677086,1,4,0.391146364703898,1,,-0.00156772391232682,not_significant,B-cell
CXCL10,0.000546093647319274,,1,0.6,5,1,0.0837099775912492,0.0659349006798587,3,2,0.443061600330235,1,,0.000546093647319274,not_significant,B-cell
CXCL12,-0.000292016308476741,,1,0.5,4,0,0.0736830111284135,0.0622887310570094,2,2,0.323126912104317,1,,-0.000292016308476741,not_significant,B-cell
CXCL14,-0.00141062562349321,,1,0.8,5,2,0.11136009723119,0.0827224733183942,1,4,0.445000045612475,1,,-0.00141062562349321,not_significant,B-cell
CXCL16,-0.000108387734113668,,1,0.75,4,0,0.117892817805462,0.097914846746933,1,3,0.473362735639142,1,,-0.000108387734113668,not_significant,B-cell
CXCL17,-2.39529655711225e-05,,1,0.5,4,0,0.0502867560484637,0.044741539747047,2,2,0.317367378270696,1,,-2.39529655711225e-05,not_significant,B-cell
CX3CL1,0.000925404071211555,,1,0.75,4,0,0.125526985453302,0.102586501576209,3,1,0.405992416765215,1,,0.000925404071211555,not_significant,B-cell
XCL1,0.000774826143557,,1,0.5,4,0,0.0629344069277223,0.0555661058148809,2,2,0.301257949374459,1,,0.000774826143557,not_significant,B-cell
CCR1,-0.00111094401301345,11.8470683690164,0.15815886015034,1,4,0,0.140263587678985,0.106612480534772,0,4,0.500842120996654,0.955829633082488,,-0.00111094401301345,not_significant,B-cell
CCR2,-0.00155134719892627,,1,0.75,4,1,0.0856849861369592,0.0720118500512743,1,3,0.387427033230291,1,,-0.00155134719892627,not_significant,B-cell
CCR5,-0.00149158185892334,,1,0.75,4,1,0.0727334877891299,0.0626305594591515,1,3,0.330391273963656,1,,-0.00149158185892334,not_significant,B-cell
CCR7,0.000658614673988059,16.2922149044552,0.0383835486629429,1,4,2,0.232823122792358,0.176535379239622,4,0,0.646661799969535,0.381093804582076,,0.000658614673988059,not_significant,B-cell
CCR10,-0.00336955082504286,,1,0.6,5,0,0.0673022142884272,0.0579968855634472,2,3,0.35799803029322,1,,-0.00336955082504286,not_significant,B-cell
