gene,n_celltypes,celltypes,n_celltypes_strict,specificity_class
B2M,5,"T CD4 naive, T CD8 memory, macrophage, mast, neutrophil",5,broad
BTG1,4,"T CD4 memory, T CD8 naive, mDC, mast",4,broad
C1QA,6,"T CD4 memory, fibroblast, mDC, macrophage, mast, neutrophil",6,broad
CCL19,4,"T CD4 memory, Treg, macrophage, plasmablast",4,broad
CD52,4,"T CD4 memory, T CD8 memory, fibroblast, macrophage",4,broad
CD68,6,"T CD4 memory, T CD8 memory, fibroblast, mDC, macrophage, neutrophil",6,broad
CD74,7,"NK, T CD4 naive, T CD8 memory, Treg, macrophage, neutrophil, pDC",7,broad
CXCL10,5,"NK, T CD4 naive, T CD8 naive, endothelial, macrophage",5,broad
CXCR4,8,"NK, T CD4 memory, T CD4 naive, T CD8 naive, Treg, fibroblast, pDC, plasmablast",8,broad
DUSP1,6,"endothelial, fibroblast, mDC, macrophage, mast, neutrophil",6,broad
EIF5A,5,"T CD4 memory, T CD8 memory, Treg, fibroblast, macrophage",5,broad
FOS,4,"endothelial, fibroblast, mDC, macrophage",4,broad
GLUL,4,"T CD8 memory, mDC, neutrophil, pDC",4,broad
GSTP1,6,"T CD4 memory, T CD8 memory, endothelial, fibroblast, macrophage, neutrophil",6,broad
HLA-B,4,"NK, T CD4 naive, mDC, neutrophil",4,broad
HLA-DPA1,5,"T CD8 memory, epithelial, macrophage, monocyte, pDC",5,broad
HLA-DRB1,9,"NK, T CD8 memory, epithelial, fibroblast, mDC, macrophage, monocyte, neutrophil, pDC",9,broad
HLA-E,9,"NK, T CD4 memory, T CD8 naive, Treg, endothelial, fibroblast, macrophage, monocyte, neutrophil",9,broad
IGKC,4,"T CD4 memory, fibroblast, mDC, mast",4,broad
IL10RA,4,"T CD4 naive, T CD8 memory, fibroblast, neutrophil",4,broad
IL1B,5,"NK, T CD4 naive, T CD8 memory, mDC, neutrophil",5,broad
KRT17,6,"T CD4 memory, endothelial, fibroblast, macrophage, mast, neutrophil",6,broad
KRT19,8,"T CD8 memory, endothelial, epithelial, fibroblast, macrophage, mast, pDC, plasmablast",8,broad
MALAT1,8,"B-cell, T CD4 memory, T CD4 naive, T CD8 naive, Treg, fibroblast, mast, neutrophil",8,broad
MIF,7,"NK, T CD4 memory, fibroblast, mDC, macrophage, mast, neutrophil",7,broad
NEAT1,4,"B-cell, fibroblast, neutrophil, pDC",4,broad
PSAP,6,"T CD4 memory, T CD8 memory, fibroblast, mDC, macrophage, pDC",6,broad
PTGDS,4,"fibroblast, macrophage, mast, pDC",4,broad
RPL22,7,"T CD8 memory, endothelial, fibroblast, mDC, macrophage, mast, neutrophil",7,broad
S100A10,7,"T CD8 memory, Treg, mDC, macrophage, monocyte, neutrophil, plasmablast",7,broad
SELENOP,5,"T CD4 memory, T CD8 memory, fibroblast, mDC, macrophage",5,broad
SRGN,5,"T CD8 memory, T CD8 naive, endothelial, fibroblast, mDC",5,broad
TGFBR2,5,"T CD4 naive, endothelial, epithelial, macrophage, neutrophil",5,broad
TUBB,5,"T CD8 naive, epithelial, fibroblast, mDC, macrophage",5,broad
YBX3,5,"T CD4 memory, fibroblast, mast, neutrophil, plasmablast",5,broad
