cell_type,pathway,pathway_clean,pval,padj,ES,NES,size,leadingEdge
B-cell,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.144499762920816,0.43710418477586,-0.473208891293929,-1.2843081506358,23,"CXCL2,CCL20,TNFRSF9,CSF2,CXCL1"
B-cell,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.166336633663366,0.43710418477586,0.380607252014434,1.24663517472007,15,"CCL2,HLA-A,CD40,IL2RB"
B-cell,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.21855209238793,0.43710418477586,-0.481948862581436,-1.21887479676394,16,"IL1RL1,TNFRSF9,CSF2,TNFRSF4,IL2RA,IL1R2,IL18R1"
B-cell,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.530612244897959,0.795918367346939,0.234067571953154,0.972516870505032,37,"CCL2,HLA-A,CD40LG,IL16,CD40,LTB,IL2RB,IFNG,TGFB1,IL12B"
B-cell,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.675420645748067,0.810504774897681,-0.302934050443784,-0.866495478438874,31,"OSMR,CSF2,CXCL1,IL2RA,CCL7,IL1R2,CXCL9,IL18R1,CCR1,CSF1,FAS,CSF2RA,CSF2RB,IL1R1,CXCL3,CSF3R"
B-cell,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.847544338335607,0.847544338335607,-0.254860162424761,-0.728987639559629,31,"OSMR,CCL20,TNFRSF9"
NK,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.127529539589841,0.664455110107284,-0.424083701802643,-1.30784990970955,30,"OSMR,CXCL1,IL6,TNF,CXCL9,CSF2RB,IL17RB,CSF2,IFNGR2,CSF1"
NK,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.221485036702428,0.664455110107284,-0.410526272134898,-1.20806237961856,24,"CXCL1,IL6,TNF,IL12B,VEGFA,LIF,CSF2,IFNGR2,CSF1"
NK,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.605757931844888,0.990305522914219,-0.329993356573843,-0.900644745312564,17,"IL6,CXCL9,CSF2RB"
NK,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.693354264782836,0.990305522914219,-0.264460141337782,-0.856188997837304,39,"IFNG,IL6,TNF,CXCL9,IL12B"
NK,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.908053782425642,0.990305522914219,-0.216400446915034,-0.667366615967342,30,"OSMR,IL6,CXCL9,IL12B"
NK,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.990305522914219,0.990305522914219,-0.173699214518847,-0.474074043324905,17,"LIF,SPP1,CSF2,CSF1,TNFSF10,IL10,IL18R1,TNFRSF9"
T CD4 memory,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.000967277552629605,0.0183782734999625,-0.469310679655975,-1.80549109323493,51,"CIITA,CCL7,BST2,OAS3,MX1,ICAM1,FPR1,IDO1,CCL2,CD40,LGALS3BP,IL15,IFNAR2,STAT1,IL7,IL2RB,CXCL9"
T CD4 memory,HALLMARK_COAGULATION,Coagulation,0.0942822384428224,0.495452165946866,0.430432891358714,1.37486825840546,22,"CFD,CLU,MMP9,PECAM1,FGG,THBS1,FYN,MMP2"
T CD4 memory,HALLMARK_APICAL_JUNCTION,Apical Junction,0.116885663855658,0.495452165946866,-0.391538725936036,-1.30565356643137,27,"ITGA3,PTK2,ICAM1,EGFR,CDH1,VCAN,MAPK13,COL16A1"
T CD4 memory,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,0.128094302554028,0.495452165946866,-0.463547732582283,-1.32847026984168,15,"CELSR1,CCND1,KRT13"
T CD4 memory,HALLMARK_MYOGENESIS,Myogenesis,0.135548308194048,0.495452165946866,0.387034492315819,1.29056746033778,26,"CFD,GPX3,CLU,IGF1"
T CD4 memory,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,0.156458578720063,0.495452165946866,-0.418822687921085,-1.27567046495956,19,"BST2,MX1,OAS1,LGALS3BP,IL15,IL7,CD47,IFI27,OASL"
T CD4 memory,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.195309496347559,0.530125775800516,-0.274269956909985,-1.16230881852652,84,"ACVR2A,CCL7,ICAM1,IL2RA,GZMB,EGFR,TLR2,IL12B,CCL2,BRCA1,ITGAL,CD40,IL15,IFNAR2,CXCR3,TGFB2,STAT1,IL7,IL2RB,CXCL9"
T CD4 memory,HALLMARK_HYPOXIA,Hypoxia,0.225274725274725,0.535027472527473,-0.358221139413237,-1.18239250328723,26,"TGFB3,RBPJ,EGFR,IGFBP3,VEGFA,IER3,ANXA2"
T CD4 memory,HALLMARK_COMPLEMENT,Complement,0.271965672251737,0.574149752531445,0.324261796008857,1.1281361533677,31,"GZMK,SPOCK2,CD40LG,CLU,DUSP5"
T CD4 memory,HALLMARK_P53_PATHWAY,P53 Pathway,0.381664371434192,0.589912558611076,-0.329907126079373,-1.05455645323842,23,"IER3,SAT1,NDRG1,S100A4,APP,JUN,PCNA"
T CD4 memory,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.384243128145567,0.589912558611076,-0.276221503879885,-1.04190828631509,46,"CSF2RA,CCL7,IL2RA,TLR2,TNFRSF12A,STAT1,IL7,CXCL9,IL1R2,TNFRSF1A,JUN,TNF,CSF3R,IL15RA,TNFRSF1B,IFNGR2"
T CD4 memory,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,0.401775147928994,0.589912558611076,-0.328379093847567,-1.03657395245897,22,"ACVR2A,IGFBP5,ANXA2,PDGFRB"
T CD4 memory,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.403624382207578,0.589912558611076,0.25709028680726,1.02499006872728,58,"IL7R,KLF2,IL6ST,CD69,GPR183,DUSP2,DUSP5,TNFSF9,TNFRSF9,GADD45B,RELA,ACKR3,IL18,CXCL2,SOD2,CSF2,NFKBIA,LDLR,ZFP36,JUNB"
T CD4 memory,HALLMARK_KRAS_SIGNALING_UP,Kras Signaling Up,0.503800428766322,0.683729153325723,-0.285643596362286,-0.969970260795637,29,"CSF2RA,IGFBP3,SPP1,SLPI,ETV5,DUSP6"
T CD4 memory,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.55241232319318,0.684208608628061,-0.23539977439415,-0.949650999652424,65,"ACVR2A,CCL7,BST2,ICAM1,FPR1,TLR2,IL12B,CCL2,CD40,IL15"
T CD4 memory,HALLMARK_APOPTOSIS,Apoptosis,0.57617567042363,0.684208608628061,-0.236879279943098,-0.935639455945742,58,"CCND1,PTK2,BRCA1,IGF2R,IER3,HSPB1,TNFRSF12A,SOD1,PDGFRB,TGFB2,SAT1,HMGB2,BCL2L1,TNFSF10,APP"
