cell_type,patient,k,mean_dist,sd_dist,n_cells
mDC,Lung5,1,549.878382386934,583.523656803476,13552
endothelial,Lung5,1,408.513977295782,442.466990399802,22846
pDC,Lung5,1,482.915591720727,442.048647173636,7169
macrophage,Lung5,1,280.819952066658,269.402326837675,21254
plasmablast,Lung5,1,404.024269603322,369.446330257512,22199
epithelial,Lung5,1,318.672490987611,298.193555367951,11846
neutrophil,Lung5,1,217.51887668483,189.19464058626,32836
fibroblast,Lung5,1,421.544680615232,476.786188996334,37735
NK,Lung5,1,347.770573448237,349.163174027389,5030
T CD4 naive,Lung5,1,691.97597021197,741.681170697849,23889
B-cell,Lung5,1,759.985085423701,738.499906328342,22788
T CD8 naive,Lung5,1,717.377974047189,774.717931583256,6009
mast,Lung5,1,342.723917149591,347.455205001184,7435
T CD4 memory,Lung5,1,653.65971994617,654.393457412632,1124
T CD8 memory,Lung5,1,560.184555444353,652.602120125338,153
Treg,Lung5,1,601.681000312954,582.954176028447,480
monocyte,Lung5,1,473.27534232507,499.770569559008,5536
mDC,Lung5,2,651.004430626532,653.670658625288,13552
endothelial,Lung5,2,477.031013095247,499.969528577495,22846
pDC,Lung5,2,553.056525622868,491.378984707028,7169
macrophage,Lung5,2,329.988385384137,294.960239918685,21254
plasmablast,Lung5,2,459.225689963033,410.066908265086,22199
epithelial,Lung5,2,367.775209843665,319.628263680173,11846
neutrophil,Lung5,2,260.401684685366,206.432413222224,32836
fibroblast,Lung5,2,491.111161083058,541.471356862573,37735
NK,Lung5,2,407.089956089166,385.179457694906,5030
T CD4 naive,Lung5,2,799.841346728665,829.713589181416,23889
B-cell,Lung5,2,865.609870975614,812.101354218804,22788
T CD8 naive,Lung5,2,845.042275621233,861.013759012437,6009
mast,Lung5,2,397.293495119455,386.462046541323,7435
T CD4 memory,Lung5,2,766.352947652911,739.222567735933,1124
T CD8 memory,Lung5,2,644.661760521062,720.538385601346,153
Treg,Lung5,2,695.918324956411,661.828964963154,480
monocyte,Lung5,2,557.717166675697,556.763801277402,5536
mDC,Lung5,3,726.12056235286,703.778216980365,13552
endothelial,Lung5,3,528.973823493586,540.828255028926,22846
pDC,Lung5,3,605.153063116398,526.133156858255,7169
macrophage,Lung5,3,369.80895997802,316.535795963444,21254
plasmablast,Lung5,3,501.661469833787,439.305656504912,22199
epithelial,Lung5,3,406.666536079937,339.369074282232,11846
neutrophil,Lung5,3,295.304053630623,222.820244338918,32836
fibroblast,Lung5,3,543.213960601896,587.229755436755,37735
NK,Lung5,3,454.710402004046,413.778431310113,5030
T CD4 naive,Lung5,3,883.56442736751,888.053798907496,23889
B-cell,Lung5,3,953.822022293973,869.914015755418,22788
T CD8 naive,Lung5,3,941.345672707733,921.592674143281,6009
mast,Lung5,3,438.704386069344,415.022793228085,7435
T CD4 memory,Lung5,3,842.486232567782,789.30279261846,1124
T CD8 memory,Lung5,3,710.7315456352,761.429332881244,153
Treg,Lung5,3,765.12155983649,711.429853870356,480
monocyte,Lung5,3,622.698191256685,601.633108755953,5536
mDC,Lung5,4,785.415885309271,741.936241151573,13552
endothelial,Lung5,4,571.124595085756,572.466447466781,22846
pDC,Lung5,4,647.175128434231,552.622859273814,7169
macrophage,Lung5,4,403.322070122777,334.10034813869,21254
plasmablast,Lung5,4,536.174607582497,464.081621596782,22199
epithelial,Lung5,4,439.129716566684,356.629884701635,11846
neutrophil,Lung5,4,325.117821197289,237.773589869092,32836
fibroblast,Lung5,4,584.649444552993,622.605180411266,37735
NK,Lung5,4,493.642365271048,436.980767101441,5030
T CD4 naive,Lung5,4,947.558199227765,931.721575235319,23889
B-cell,Lung5,4,1021.22260442219,917.609594748459,22788
T CD8 naive,Lung5,4,1016.05913793992,968.490023985172,6009
mast,Lung5,4,472.198033539827,438.26039953052,7435
T CD4 memory,Lung5,4,902.007687818655,827.099206986358,1124
T CD8 memory,Lung5,4,768.645206026857,792.900813684645,153
Treg,Lung5,4,819.913127156939,745.887412572555,480
monocyte,Lung5,4,673.702827992187,636.826455829345,5536
mDC,Lung5,5,835.390799160164,772.788040634219,13552
endothelial,Lung5,5,607.561048088647,599.712461286675,22846
pDC,Lung5,5,682.401644480492,574.222961840412,7169
