ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score,nichenet_activity,nichenet_auroc,enrichment_pval,enrichment_fdr,enrichment_odds_ratio,n_downstream_overlap,enrichment_score,scaled_direct,scaled_activity,scaled_enrichment,scaled_expression,combined_score
COL9A2,ITGB1,fibroblast,58.860518733895,2.42563775982848,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000825322847977438,0.000825322847977438,0.026705535694864,0.649847428073234,0.0111461936575603,0.0154808245243893,1.67664193748684,38,1.952873415642,1,0.482175682988126,0.510228337780339,1,0.746698372452506
COL1A1,DDR1,fibroblast,35.3646717144152,1.39511970593508,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000646291803038501,0.000646291803038501,0.0304076500863457,0.66348808485905,0.00167200364100288,0.00491765776765553,1.91369660055186,41,2.77676278116391,0.779211776155533,0.565720402505585,0.866297119582124,0.562012874901342,0.710861542620448
COL1A1,ITGB8,fibroblast,35.3646717144152,1.39511970593508,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000458891142772925,0.000458891142772925,0.0304076500863457,0.66348808485905,0.00167200364100288,0.00491765776765553,1.91369660055186,41,2.77676278116391,0.548101808934882,0.565720402505585,0.866297119582124,0.562012874901342,0.618417555732187
FN1,ITGB8,fibroblast,15.8941229785024,0.582794604804323,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000389244503670584,0.000389244503670584,0.0339029761879919,0.673714036617263,0.000820104044374894,0.00410052022187447,1.99807323736306,42,3.0861310463584,0.462210796292984,0.644598580731518,1,0.199061513417522,0.598170044078401
LGALS3BP,ITGB1,fibroblast,46.2619867488332,1.73673638008163,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.00032420601916281,0.00032420601916281,0.0309239322508512,0.668410345829704,0.00327529051379559,0.00682352190374081,1.83210033727098,40,2.48475017263626,0.38200274365661,0.57737121716564,0.74009501267262,0.76515020718232,0.550546485865092
COL6A1,ITGB1,fibroblast,24.8434569469391,0.903967405761315,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,9.36289656538005e-05,9.36289656538005e-05,0.0496518675198003,0.667247893054345,0.00616429286460629,0.00994240784613917,1.75298701405201,39,2.2101167361994,0.097645926541968,1,0.621403842175271,0.365886444356748,0.499927783487516
MMP14,DDR1,fibroblast,16.0224667811176,0.543228397250786,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000260291897160905,0.000260291897160905,0.0302585181568717,0.662234815460626,0.00167200364100288,0.00491765776765553,1.91369660055186,41,2.77676278116391,0.303181299698708,0.562354978344821,0.866297119582124,0.201453975927388,0.483383834892093
FN1,ITGB1,fibroblast,15.8941229785024,0.582794604804323,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000124536761296455,0.000124536761296455,0.0339029761879919,0.673714036617263,0.000820104044374894,0.00410052022187447,1.99807323736306,42,3.0861310463584,0.135762652639484,0.644598580731518,1,0.199061513417522,0.467590786617001
COL1A1,ITGB1,fibroblast,35.3646717144152,1.39511970593508,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000152802818625327,0.000152802818625327,0.0304076500863457,0.66348808485905,0.00167200364100288,0.00491765776765553,1.91369660055186,41,2.77676278116391,0.170621481703773,0.565720402505585,0.866297119582124,0.562012874901342,0.467425424839743
COL4A2,DDR1,fibroblast,28.5756814956684,1.07049459828921,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000251619744459524,0.000251619744459524,0.0319524241205805,0.661980528916013,0.00616429286460629,0.00994240784613917,1.75298701405201,39,2.2101167361994,0.2924864551677,0.600580944282725,0.621403842175271,0.435459007498027,0.464995534536754
COL1A2,DDR1,fibroblast,16.2434298227334,0.597016610887226,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,4,5,0.8,0.000266897423030634,0.000213517938424507,0.0342481633890435,0.672333623946529,0.00327529051379559,0.00682352190374081,1.83210033727098,40,2.48475017263626,0.245497788578579,0.652388336758297,0.74009501267262,0.20557295777427,0.462491914770872
VTN,ITGB8,fibroblast,13.0751902829187,0.439283534864549,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000308566809574286,0.000308566809574286,0.0247832608528897,0.649157221737867,0.00327529051379559,0.00682352190374081,1.83210033727098,40,2.48475017263626,0.362715846746863,0.438796171842353,0.74009501267262,0.146513664167324,0.439395559202708
COL4A2,ITGB1,fibroblast,28.5756814956684,1.07049459828921,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000198984834271137,0.000198984834271137,0.0319524241205805,0.661980528916013,0.00616429286460629,0.00994240784613917,1.75298701405201,39,2.2101167361994,0.227574984999659,0.600580944282725,0.621403842175271,0.435459007498027,0.439030946469538
VCAN,ITGB1,fibroblast,17.8364807335444,0.614121141535067,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000181391356083709,0.000181391356083709,0.0312796980298364,0.668428509154316,0.00327529051379559,0.00682352190374081,1.83210033727098,40,2.48475017263626,0.205878006123322,0.585399697400507,0.74009501267262,0.235269090370955,0.4295170232411
COL6A2,ITGB1,fibroblast,25.7894963167313,1.004554916956,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000124168022445683,0.000124168022445683,0.0328330291752323,0.670045045045046,0.00327529051379559,0.00682352190374081,1.83210033727098,40,2.48475017263626,0.135307909184502,0.620453345434299,0.74009501267262,0.383521606156275,0.426630330454242
COL3A1,DDR1,fibroblast,9.92481302491127,0.35239596527109,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000216426728701406,0.000216426728701406,0.0336932301644132,0.669899738448124,0.00616429286460629,0.00994240784613917,1.75298701405201,39,2.2101167361994,0.249085024741957,0.639865292978416,0.621403842175271,0.0877873421468035,0.424653100440042
COL4A1,ITGB1,fibroblast,18.0402430593458,0.637938144862187,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000142379737147919,0.000142379737147919,0.0282143445091857,0.644634553908748,0.00167200364100288,0.00491765776765553,1.91369660055186,41,2.77676278116391,0.157767321984334,0.516224606351492,0.866297119582124,0.239067432912392,0.415140477906845
COL4A5,DDR1,fibroblast,10.0872274761588,0.346232078079334,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000170735008634038,0.000170735008634038,0.0311581032520838,0.663324614937516,0.00327529051379559,0.00682352190374081,1.83210033727098,40,2.48475017263626,0.192736173504936,0.582655697478329,0.74009501267262,0.0908149171270718,0.408991672892704
