ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score
COL9A2,ITGB1,fibroblast,58.860518733895,2.42563775982848,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000825322847977438,0.000825322847977438
COL1A1,DDR1,fibroblast,35.3646717144152,1.39511970593508,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000646291803038501,0.000646291803038501
COL1A1,ITGB8,fibroblast,35.3646717144152,1.39511970593508,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000458891142772925,0.000458891142772925
FN1,ITGB8,fibroblast,15.8941229785024,0.582794604804323,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000389244503670584,0.000389244503670584
LGALS3BP,ITGB1,fibroblast,46.2619867488332,1.73673638008163,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.00032420601916281,0.00032420601916281
VTN,ITGB8,fibroblast,13.0751902829187,0.439283534864549,-0.00117413952288575,4.11740300430642e-07,0.0633296430452401,5,5,1,0.000308566809574286,0.000308566809574286
COL5A3,DDR1,fibroblast,9.47660206474746,0.323917549092335,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000274480955712753,0.000274480955712753
MMP2,DDR1,fibroblast,12.7569770403522,0.448958115942366,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000263377111015317,0.000263377111015317
MMP14,DDR1,fibroblast,16.0224667811176,0.543228397250786,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000260291897160905,0.000260291897160905
COL27A1,ITGB1,fibroblast,23.6040130593127,0.824528629214082,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000257007179690994,0.000257007179690994
CX3CL1,ITGB1,fibroblast,17.816964536755,0.602981284386015,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000256613449810195,0.000256613449810195
COL4A2,DDR1,fibroblast,28.5756814956684,1.07049459828921,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000251619744459524,0.000251619744459524
LGALS1,ITGB1,fibroblast,40.5738423422082,1.6361251175265,-0.00120758588063218,3.28961190906533e-19,0.295162139793846,5,5,1,0.000217072793283738,0.000217072793283738
COL3A1,DDR1,fibroblast,9.92481302491127,0.35239596527109,-0.00264410252383735,3.01029632955651e-21,0.0872663563958425,5,5,1,0.000216426728701406,0.000216426728701406
