ligand,auroc,aupr,activity,pearson,cell_type
RSPO1,0.662888695146762,0.12049668560487,0.0552335277101329,0.16319080751042,fibroblast
EPCAM,0.689425312409183,0.118952841929792,0.0536896840350551,0.114317688943717,fibroblast
COL6A1,0.667247893054345,0.114915025414537,0.0496518675198003,0.100835666050165,fibroblast
ADGRE5,0.695273902935194,0.112371365241494,0.047108207346757,0.126063325162589,fibroblast
FGF9,0.655605201976172,0.110305359841115,0.0450422019463783,0.116857999861696,fibroblast
ENTPD1,0.674531386224934,0.108806275737865,0.0435431178431286,0.108297330810658,fibroblast
PSAP,0.686392037198491,0.107087208398522,0.0418240505037853,0.0743754221073625,fibroblast
KLK3,0.678327521069462,0.106210575577385,0.0409474176826477,0.114702499676459,fibroblast
LGALS3,0.683358761987793,0.105467154673063,0.0402039967783265,0.0723413173441312,fibroblast
SPINK1,0.690951031676837,0.104920481219243,0.0396573233245061,0.0682690981083901,fibroblast
WIF1,0.666902789886662,0.104682702620503,0.0394195447257664,0.0691677159376812,fibroblast
SERPINA1,0.69605492589364,0.104123013756107,0.0388598558613703,0.0366263497611754,fibroblast
BMP4,0.658257047369949,0.103779138600864,0.0385159807061272,0.067227244179077,fibroblast
BMP7,0.642618424876491,0.103433283669095,0.038170125774358,0.0386246117266669,fibroblast
LYZ,0.677837111304855,0.102496719119332,0.037233561224595,0.112531303126637,fibroblast
NRXN3,0.683049985469341,0.10224213407652,0.0369789761817834,0.111686777757449,fibroblast
WNT2B,0.669554635280442,0.101590492774613,0.0363273348798762,0.0744198399283598,fibroblast
TGFB3,0.658856437082243,0.101423504893676,0.0361603469989392,0.0771011842527614,fibroblast
ARF1,0.68245059575705,0.101363626381517,0.03610046848678,0.109722583742003,fibroblast
ANXA2,0.672805870386516,0.100891587135684,0.0356284292409474,0.0846850642630624,fibroblast
COL11A1,0.66230746875908,0.100634407909076,0.0353712500143392,0.0872838878174863,fibroblast
MXRA8,0.680761406567857,0.100330607366138,0.0350674494714008,0.104372213638609,fibroblast
BMP1,0.667810956117405,0.100319571257928,0.0350564133631915,0.112158856197927,fibroblast
VSIR,0.668555652426619,0.100100531028541,0.0348373731338043,0.11095780712848,fibroblast
S100A10,0.67418628305725,0.10005236959601,0.0347892117012731,0.102856614230934,fibroblast
NPPC,0.666212583551292,0.0997117023464584,0.0344485444517216,0.108387438033478,fibroblast
CDH1,0.675294245858764,0.0996486674618685,0.0343855095671317,0.0787852963193023,fibroblast
GSTP1,0.676729148503344,0.0995273426141925,0.0342641847194556,0.0932991972783559,fibroblast
COL1A2,0.672333623946529,0.0995113212837803,0.0342481633890435,0.107683974068811,fibroblast
NRXN1,0.664868497529791,0.0994759892769079,0.0342128313821711,0.108971706736513,fibroblast
