gene,sample_id,coef,se,n_cells,pval,dispersion
AATK,Lung5,-0.00220256163046402,0.000476605538969944,37735,3.81248540803639e-06,0.216729812837325
AATK,Lung6,-0.00149718368645693,0.00284806540568169,3252,0.599107472134929,0.114838145032504
AATK,Lung9,0.000811031511856981,0.00084553362484074,21893,0.337460586433007,0.164218020208289
AATK,Lung12,2.59853067756671e-05,0.000605323952226732,16548,0.96575898101883,0.325614722590262
AATK,Lung13,-0.000110609325300666,0.00110194888811877,13609,0.920045748035803,0.154020281202666
ABL1,Lung5,0.00115483559947124,0.000269757162131222,37735,1.86039276265624e-05,0.519631282997598
ABL1,Lung6,0.00178909527046788,0.00123236158983335,3252,0.146567896203197,0.3590925306383
ABL1,Lung9,-0.00127685074431386,0.000442524066123253,21893,0.00390939631481421,0.384449547505571
ABL1,Lung12,-0.000905540056791005,0.00043388150746189,16548,0.0368820200992678,0.507112782315695
ABL1,Lung13,-0.000396084854313377,0.000541064577175688,13609,0.464139707785809,0.406045424527072
ABL2,Lung5,0.00220103504718069,0.000264588097499414,37735,8.89162073865503e-17,0.559852406611971
ABL2,Lung6,-7.23422553392678e-05,0.00134258047970282,3252,0.957028386154644,0.345334655281701
ABL2,Lung9,-0.00086601604847163,0.000512551783323264,21893,0.0911013104832051,0.322350423990075
ABL2,Lung12,0.000754241288568628,0.000438225524736939,16548,0.0852279853730626,0.488488041100414
ABL2,Lung13,-0.000346507209345505,0.000508354264737396,13609,0.495475811986669,0.431307665149004
ACE,Lung5,-0.00154913702905158,0.000412651996437248,37735,0.000173965122308038,0.267552577187658
ACE,Lung6,0.00255778939565455,0.00180956024049377,3252,0.157512659032834,0.214324979784217
ACE,Lung9,-0.000530323199354116,0.00073288550529362,21893,0.469305268359726,0.194281893229921
ACE,Lung12,-0.000606748249152587,0.000534281552264593,16548,0.256109810093127,0.382714968477602
ACE,Lung13,0.00117972122242733,0.000778796853365414,13609,0.129823142147092,0.24882247343526
ACE2,Lung5,-0.000353022532686268,0.000397182836920096,37735,0.374101877642686,0.306000820328164
ACE2,Lung6,-0.000701200604502413,0.00259864931042433,3252,0.787288951397648,0.13144932894292
ACE2,Lung9,0.00144292462621072,0.000707708903260168,21893,0.0414632612193407,0.217246360458274
ACE2,Lung12,0.000390396363103555,0.000453805469542372,16548,0.389638851431308,0.490105407601961
ACE2,Lung13,-0.00118916970517006,0.000843943047004674,13609,0.158816265769026,0.223167492467442
ACKR1,Lung5,0.00144418189783228,0.000438395994550764,37735,0.000986879749129439,0.290619880278636
ACKR1,Lung6,0.00452186434221499,0.0021099077493668,3252,0.0321004641033109,0.170434664475776
ACKR1,Lung9,0.00163637107652041,0.000826111221875567,21893,0.0476123531237641,0.168210958371784
ACKR1,Lung12,-0.000199163631003983,0.000551020184376869,16548,0.717766622776592,0.368916788237914
ACKR1,Lung13,-0.000750346279197666,0.0010278563002199,13609,0.465383535983249,0.165411426194905
ACKR3,Lung5,0.00269275557580256,0.000341448221323623,37735,3.11332787587953e-15,0.422830227153129
ACKR3,Lung6,-0.000919283546060375,0.00146474100369324,3252,0.530260599286662,0.315105456258783
ACKR3,Lung9,-0.00102127938659978,0.000656807666905958,21893,0.119966570760408,0.232733059711837
ACKR3,Lung12,1.52699761874126e-05,0.000450826187359052,16548,0.972979943571818,0.47766964196726
ACKR3,Lung13,0.000174259296180033,0.000635937608612927,13609,0.784069647481852,0.330489724489113
ACKR4,Lung5,-0.000439430350118671,0.000382128094718837,37735,0.250162150604242,0.315367840483985
ACKR4,Lung6,0.00188556659444827,0.00230093447975652,3252,0.412513399612184,0.157645019975238
ACKR4,Lung9,-0.000835062644015533,0.000734037567496202,21893,0.255275306634869,0.198882768561192
ACKR4,Lung12,-0.00052032090267595,0.000421640873319965,16548,0.217188706948602,0.522099823011023
ACKR4,Lung13,0.00162796293588572,0.000993849278336799,13609,0.101413756193574,0.179013122021912
ACTA2,Lung5,-0.0017838728104504,9.87765215117887e-05,37735,6.61999148078586e-73,1.60589757589491
ACTA2,Lung6,0.00075649170502645,0.000666494023794462,3252,0.256362124483107,0.848569424503011
ACTA2,Lung9,0.00251334469284035,0.000320988184591252,21893,4.87782843089877e-15,0.615318627718136
ACTA2,Lung12,0.000190604572602859,0.000219718947352178,16548,0.385672135452295,1.05497608828145
ACTA2,Lung13,9.57373035629045e-05,0.000264927385666599,13609,0.717821477108025,0.970194375848585
ACTG2,Lung5,-0.000192066202266435,0.000289226939873214,37735,0.506647129083038,0.529399343166187
ACTG2,Lung6,0.00524069107143141,0.00170142286071899,3252,0.00206874545259132,0.247596529427856
ACTG2,Lung9,0.000748266925755611,0.000658887564051441,21893,0.256102271176603,0.237523846554497
ACTG2,Lung12,0.00065722753881448,0.000327256074129168,16548,0.0446116928268775,0.730874538635478
ACTG2,Lung13,-0.000818785949677728,0.000634003757070282,13609,0.196546699717731,0.338659099318196
ACVR1,Lung5,-0.00101580857863786,0.000300985549596126,37735,0.000738314223518487,0.419939766745447
ACVR1,Lung6,0.000201570839067807,0.00149228260718753,3252,0.892552170327676,0.297837974195478
ACVR1,Lung9,-0.00168416950906213,0.000601746260120429,21893,0.00512923488521902,0.254515309244437
ACVR1,Lung12,-0.000642414575854208,0.000461636208853905,16548,0.164042490623365,0.465686939986939
ACVR1,Lung13,-0.000712190148459802,0.000702849948129725,13609,0.310922121527861,0.288730538685718
ACVR1B,Lung5,0.000470509630327751,0.000316041411402702,37735,0.136550730063878,0.416656597845131
ACVR1B,Lung6,0.00433527989528169,0.00154522870255538,3252,0.00502243818581504,0.256128923253631
ACVR1B,Lung9,-0.000399426726638822,0.000562453497655692,21893,0.477610709336981,0.285651869997312
ACVR1B,Lung12,0.000783505830863263,0.00049827608827186,16548,0.115850135137492,0.429274101247813
ACVR1B,Lung13,0.00156552707271581,0.000741265558939245,13609,0.0346894333118514,0.268443400646542
ACVR2A,Lung5,0.000346196950876072,0.000320675900788519,37735,0.280326942691731,0.401420834544392
ACVR2A,Lung6,-0.00249660434009255,0.00160261562484251,3252,0.119273309566239,0.270092144690705
ACVR2A,Lung9,0.000868393601187128,0.000696367970794043,21893,0.212385523338761,0.209818723049353
ACVR2A,Lung12,-0.000314652536291984,0.000453625692635065,16548,0.487908540250448,0.473446935669441
ACVR2A,Lung13,-0.00141914860503148,0.000681254784952917,13609,0.0372385294892555,0.29586821700446
ACVRL1,Lung5,-0.000333813612191211,0.000297286305574991,37735,0.261493084380057,0.439103630658099
ACVRL1,Lung6,0.00175869678459848,0.0011914178806767,3252,0.139906944767738,0.382788060464891
ACVRL1,Lung9,-0.000293502726006202,0.000517580973864129,21893,0.57066914017415,0.310179780293943
ACVRL1,Lung12,-0.000275625638031965,0.000433565630725497,16548,0.524959997917516,0.500666767680516
ACVRL1,Lung13,0.00231480712106405,0.000646820529043665,13609,0.000345245292702838,0.329154601993313
ADGRA2,Lung5,-0.000947355738756172,0.000221473853730872,37735,1.88998863329681e-05,0.606356056110876
ADGRA2,Lung6,0.00136897359760915,0.00109265715746389,3252,0.2102476165777,0.41860550926394
ADGRA2,Lung9,0.000275714100188803,0.000463533720015648,21893,0.551971047453714,0.363332554038788
ADGRA2,Lung12,4.13658800625719e-05,0.000371559654654864,16548,0.91135436001548,0.588747887599045
ADGRA2,Lung13,0.00280017234209685,0.000575078819040927,13609,1.12052378573571e-06,0.392058530382097
ADGRA3,Lung5,-0.00102021654061903,0.000298233516257591,37735,0.000624223536895769,0.4169176477816
ADGRA3,Lung6,0.00432355426055163,0.00137431814592894,3252,0.00165540854491196,0.308474834519169
ADGRA3,Lung9,-0.00100419722756167,0.000550045661499967,21893,0.0679012548347576,0.289284783810619
ADGRA3,Lung12,0.000381562331275004,0.000495136479854227,16548,0.44093189503669,0.43572528971494
ADGRA3,Lung13,-0.000685135838546884,0.000769459879432687,13609,0.373245030246595,0.254576941868431
ADGRB2,Lung5,-0.000539648073873152,0.000460394409787639,37735,0.241139657922601,0.239625512032936
ADGRB2,Lung6,-0.00212940729227706,0.00270542693791518,3252,0.431230739864094,0.12801671462402
ADGRB2,Lung9,0.00013812949154997,0.000825647923691217,21893,0.867135344058092,0.17189370380026
ADGRB2,Lung12,0.000187104443765737,0.000597377573645986,16548,0.754121358125783,0.331618250407948
ADGRB2,Lung13,-0.000473943949476615,0.00107391715862845,13609,0.658979442247771,0.157186991317346
ADGRB3,Lung5,0.00040964777987001,0.00038254863031468,37735,0.284242077890647,0.315760094688696
ADGRB3,Lung6,0.00447201546541786,0.00159674302448975,3252,0.0050990189304094,0.250516950544284
ADGRB3,Lung9,0.00185179200602253,0.000724338945468635,21893,0.0105722893389888,0.202861912695787
ADGRB3,Lung12,0.00121634000914837,0.000531524567624781,16548,0.0221143264690327,0.389198502440546
ADGRB3,Lung13,-0.000232029679516517,0.000828440869763041,13609,0.779416164951448,0.224276801637367
